                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5591,                 1.0995,                 1.5118,                0.85815,                0.57766,                 0.6697,                0.39335,                 1.4748,                 1.0171,                 1.4964,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.5644,                 1.0999,                 1.4986,                0.84111,                0.58372,                0.66595,                0.39239,                 1.4947,                 1.0341,                 1.5031,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.5347,                 1.0939,                 1.5037,                0.84547,                0.59089,                0.67199,                0.39828,                 1.4429,                 1.0183,                 1.4757,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.5558,                 1.0868,                 1.4953,                0.84503,                0.57691,                0.66845,                0.39466,                 1.4745,                0.99222,                 1.4962,               0.000614,               0.000614,               0.000614
                     38,                 1.5092,                 1.0603,                 1.4823,                0.85632,                0.59527,                0.68396,                0.40206,                 1.4706,                0.97534,                 1.4873,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.5094,                 1.0386,                 1.4733,                0.84891,                0.58362,                0.67527,                0.39757,                 1.4722,                0.99909,                 1.4828,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.5318,                 1.0477,                  1.485,                0.87022,                0.59648,                0.68617,                 0.4091,                 1.4365,                0.95996,                 1.4627,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.4743,                 1.0931,                 1.4806,                0.86441,                 0.5813,                0.68106,                0.40715,                 1.4464,                 1.0031,                 1.4667,              0.0004556,              0.0004556,              0.0004556
                     42,                  1.478,                 1.0098,                 1.4756,                0.86102,                0.60208,                0.69115,                0.41343,                 1.4345,                0.96353,                  1.455,               0.000416,               0.000416,               0.000416
                     43,                 1.4508,                 1.0092,                 1.4498,                0.87673,                0.59768,                0.69366,                0.41269,                 1.4197,                0.94084,                 1.4493,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.4713,                0.99391,                 1.4699,                0.88686,                0.60444,                0.70064,                0.42609,                 1.3972,                0.91806,                 1.4401,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.4395,                0.97083,                 1.4484,                0.85078,                0.61733,                0.69847,                0.42442,                 1.3989,                0.91476,                 1.4367,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.4311,                0.96562,                 1.4397,                0.88765,                0.60567,                0.70332,                0.42673,                 1.3913,                0.90495,                 1.4332,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.4236,                0.96616,                 1.4344,                0.87306,                0.61606,                0.70648,                0.43517,                 1.3708,                0.88549,                 1.4154,               0.000218,               0.000218,               0.000218
                     48,                  1.405,                0.95722,                 1.4345,                0.87614,                0.62245,                0.71177,                0.43675,                  1.372,                0.88393,                 1.4142,              0.0001784,              0.0001784,              0.0001784
                     49,                   1.41,                0.94215,                 1.4268,                0.87888,                 0.6233,                0.71302,                0.44144,                 1.3607,                0.87355,                 1.4096,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.3929,                0.92798,                 1.4326,                0.88121,                0.62924,                0.71513,                0.44344,                 1.3552,                0.86756,                 1.4048,               9.92e-05,               9.92e-05,               9.92e-05
