                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                 2.8674,                 3.2113,                 3.5855,                0.00307,                0.61688,                 0.0161,                0.00445,                  3.199,                 3.6393,                 4.0654,              0.0011077,              0.0011077,              0.0011077
                     15,                   3.08,                 3.2417,                 3.6168,                 0.0035,                 0.7013,                0.01491,                0.00356,                   3.19,                 3.9206,                 3.6945,               0.001076,               0.001076,               0.001076
                     16,                  2.861,                 3.1314,                 3.5662,                0.55151,                0.02416,                0.07245,                0.02246,                 2.7026,                 3.5584,                 3.7327,               0.001076,               0.001076,               0.001076
                     17,                 2.8569,                  3.154,                 3.5265,                0.59889,                0.01941,                0.10101,                0.02608,                 2.8037,                 3.9153,                 3.5325,                0.00101,                0.00101,                0.00101
                     18,                 2.8944,                 3.0855,                 3.4492,                0.54486,                0.10887,                0.14149,                 0.0447,                 2.9035,                 3.8228,                  3.468,               0.000944,               0.000944,               0.000944
                     19,                 2.7946,                 3.0633,                 3.4173,                0.39828,                0.16234,                0.15457,                0.06393,                 3.0525,                 3.9634,                 3.5332,               0.000878,               0.000878,               0.000878
                     20,                 2.7868,                   2.95,                 3.3869,                0.40153,                0.18831,                0.20974,                0.10944,                 2.9992,                 4.0286,                 3.4943,               0.000812,               0.000812,               0.000812
                     21,                 2.6387,                 3.2638,                 3.3185,                0.38622,                0.20839,                0.22404,                0.11592,                 2.8732,                 3.4694,                 3.3856,               0.000746,               0.000746,               0.000746
                     22,                 2.5798,                 3.1508,                 3.2755,                0.37737,                0.25189,                 0.2273,                0.11914,                 2.6178,                 3.1942,                 3.3582,                0.00068,                0.00068,                0.00068
                     23,                 2.4125,                 3.1288,                 3.2716,                0.43425,                0.25974,                0.25235,                0.13766,                 2.3724,                 3.1275,                  3.388,               0.000614,               0.000614,               0.000614
                     24,                 2.3825,                 3.0207,                 3.2669,                0.40206,                0.29221,                0.28891,                0.13999,                 2.4353,                 2.9865,                 3.2764,               0.000548,               0.000548,               0.000548
                     25,                 2.5198,                 3.0758,                 3.2451,                0.40555,                 0.2987,                0.30611,                0.15028,                 2.4419,                 2.9739,                 3.2519,               0.000482,               0.000482,               0.000482
                     26,                 2.4681,                 3.0516,                 3.1908,                0.50004,                0.30519,                0.30571,                 0.1251,                  2.613,                  2.972,                 3.2516,               0.000416,               0.000416,               0.000416
                     27,                 2.5772,                 2.9484,                 3.1961,                0.36495,                0.34416,                0.32068,                0.13164,                 2.6212,                 2.7725,                 3.2468,                0.00035,                0.00035,                0.00035
                     28,                 2.4413,                 3.0174,                 3.1143,                0.34333,                0.35714,                0.30466,                0.13046,                 2.5347,                 2.8173,                 3.2083,               0.000284,               0.000284,               0.000284
                     29,                 2.4336,                 2.8861,                 3.1553,                0.38518,                0.37013,                0.32913,                0.14185,                 2.4862,                 2.8141,                 3.1821,               0.000218,               0.000218,               0.000218
                     30,                 2.3979,                 3.0172,                 3.1744,                0.47558,                0.38312,                0.36037,                0.16711,                 2.3895,                 2.7887,                 3.1369,               0.000152,               0.000152,               0.000152
