                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4625,                 3.8986,                 4.2551,                0.00265,                0.53247,                0.00499,                0.00164,                 3.2241,                 4.0519,                 4.1588,                0.00012,                0.00012,                0.00012
                      2,                 3.4873,                 3.7595,                 4.2196,                0.00282,                0.56494,                0.00486,                0.00158,                 3.2231,                 4.0475,                 4.1561,             0.00025142,             0.00025142,             0.00025142
                      3,                 3.3511,                 3.6243,                 4.1634,                0.00294,                0.59091,                0.00638,                0.00205,                 3.2213,                 4.0421,                 4.1476,              0.0003736,              0.0003736,              0.0003736
                      4,                 3.3363,                 3.6236,                 4.1515,                0.00294,                0.59091,                 0.0064,                0.00195,                 3.2252,                 4.0424,                 4.1365,             0.00048654,             0.00048654,             0.00048654
                      5,                 3.3248,                 3.5479,                 4.1173,                0.00298,                 0.5974,                0.00641,                 0.0019,                  3.228,                 4.0495,                 4.1173,             0.00059024,             0.00059024,             0.00059024
                      6,                    3.4,                 3.4982,                 4.0693,                0.00285,                0.57143,                0.00588,                0.00181,                 3.2311,                 4.0538,                 4.1003,              0.0006847,              0.0006847,              0.0006847
                      7,                 3.1944,                 3.4038,                 3.9736,                0.00307,                0.61688,                 0.0066,                0.00203,                 3.2272,                 4.0803,                 4.1051,             0.00076992,             0.00076992,             0.00076992
                      8,                 3.0748,                 3.3513,                 3.9121,                0.00285,                0.57143,                0.00947,                0.00319,                 3.2299,                 4.0761,                 4.1172,              0.0008459,              0.0008459,              0.0008459
                      9,                 3.1488,                 3.3542,                 3.8555,                0.00304,                0.61039,                0.01256,                0.00391,                 3.2526,                 4.1597,                 4.1223,             0.00091264,             0.00091264,             0.00091264
                     10,                 3.1319,                 3.4225,                 3.8037,                0.00314,                0.62987,                 0.0119,                0.00391,                  3.256,                 4.1804,                  4.144,             0.00097014,             0.00097014,             0.00097014
                     11,                 3.1025,                 3.2507,                 3.6963,                0.00291,                0.58442,                0.02005,                0.00615,                 3.2691,                 4.0821,                 4.2326,              0.0010184,              0.0010184,              0.0010184
                     12,                 3.0768,                 3.3351,                 3.6947,                0.00294,                0.59091,                 0.0156,                0.00402,                 3.2822,                  3.932,                   4.01,              0.0010574,              0.0010574,              0.0010574
                     13,                 3.0052,                 3.2259,                 3.6033,                0.00291,                0.58442,                0.01832,                 0.0047,                 3.2925,                 3.6874,                 4.1476,              0.0010872,              0.0010872,              0.0010872
