                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.65198,                 1.0868,                0.83343,                0.91986,                0.82573,                0.91149,                0.90351,                0.76122,                0.94798,                0.84615,                0.93849,                0.72056,                0.51515,                 1.0107,                0.85518,                 0.8845,                0.07726,              0.0012595,              0.0012595
                     25,                0.56923,                 1.0551,                0.81569,                0.91483,                0.82573,                0.91149,                0.90351,                0.76122,                0.94798,                0.84615,                0.93849,                0.72056,                0.51515,                 1.0107,                0.85518,                 0.8845,               0.076263,              0.0012625,              0.0012625
                     26,                0.66253,                 1.1269,                0.79189,                0.99677,                0.82403,                0.90086,                0.90075,                0.75231,                0.95614,                 0.8387,                0.91939,                0.70984,                0.50265,                0.95506,                0.90128,                0.87594,               0.075262,              0.0012615,              0.0012615
                     27,                0.57429,                  1.234,                0.78134,                0.93347,                0.82403,                0.90086,                0.90075,                0.75231,                0.95614,                 0.8387,                0.91939,                0.70984,                0.50265,                0.95506,                0.90128,                0.87594,               0.074257,              0.0012566,              0.0012566
                     28,                0.63249,                 1.1602,                0.76952,                0.95464,                0.87188,                0.80769,                0.84383,                0.70178,                0.91449,                0.84615,                0.88085,                0.67031,                0.50528,                0.95706,                 1.0361,                0.88208,               0.073248,              0.0012477,              0.0012477
                     29,                0.62625,                  1.302,                0.95714,                0.93489,                0.87188,                0.80769,                0.84383,                0.70178,                0.91449,                0.84615,                0.88085,                0.67031,                0.50528,                0.95706,                 1.0361,                0.88208,               0.072235,              0.0012348,              0.0012348
                     30,                0.60728,                0.96228,                0.71716,                0.92615,                0.91623,                0.84156,                0.87147,                0.74915,                0.95808,                0.87919,                0.90293,                0.71234,                0.49313,                0.94356,                 1.0163,                0.87751,               0.071218,               0.001218,               0.001218
                     31,                0.55607,                0.89977,                0.63356,                 0.9358,                0.91623,                0.84156,                0.87147,                0.74915,                0.95808,                0.87919,                0.90293,                0.71234,                0.49313,                0.94356,                 1.0163,                0.87751,               0.070197,              0.0011972,              0.0011972
                     32,                0.62211,                 1.0652,                0.71802,                0.98066,                0.88677,                0.80769,                 0.8803,                0.76377,                0.93255,                0.84615,                0.91191,                0.73884,                0.48733,                0.91414,                 1.0039,                0.87865,               0.069172,              0.0011725,              0.0011725
                     33,                0.63886,                 1.3592,                0.66393,                0.95609,                0.88677,                0.80769,                 0.8803,                0.76377,                0.93255,                0.84615,                0.91191,                0.73884,                0.48733,                0.91414,                 1.0039,                0.87865,               0.068144,              0.0011438,              0.0011438
